sigma_m,d_m,W,noise_struct,direction,trials,std_emp_deg,std_eq13_deg,std_chained_theory_deg,ratio_emp_over_eq13,ratio_emp_over_chained,bias_emp_deg
0.05,0.3,10,indep,single,2000,4.333389891926333,4.270575260503064,4.270575260503064,1.014708704938236,1.014708704938236,0.05284838721164827
0.05,0.3,10,indep,multi,2000,4.273600020127341,4.270575260503064,4.270575260503064,1.0007082791988828,1.0007082791988828,0.039320210701302004
0.05,0.3,20,chained,single,2000,0.6980837266480155,3.0197527262692225,0.6752372371178297,0.23117247997668622,1.0338347595101587,0.001128258241719714
0.05,0.3,20,chained,multi,2000,3.0230369358731126,3.0197527262692225,3.019752726269223,1.0010875756731072,1.0010875756731072,-0.038853221374142384
0.05,0.3,20,indep,single,2000,2.9521870624450233,3.0197527262692225,3.0197527262692225,0.9776254316333796,0.9776254316333796,0.034656687299437966
0.05,0.3,20,indep,multi,2000,3.084612493562126,3.0197527262692225,3.0197527262692225,1.0214785027690114,1.0214785027690114,0.023178327357897155
0.05,0.3,50,chained,single,2000,0.27562234321307677,1.9098593171027445,0.2700948948471319,0.14431552143390108,1.02046483836384,-0.003203562997353826
0.05,0.3,50,chained,multi,2000,1.9335232321308786,1.9098593171027445,1.9098593171027445,1.0123903969345933,1.0123903969345933,0.06708766207621782
0.05,0.3,50,indep,single,2000,1.9174967500719464,1.9098593171027445,1.9098593171027445,1.0039989505513882,1.0039989505513882,0.06544243874879248
0.05,0.3,50,indep,multi,2000,1.9293693329611705,1.9098593171027445,1.9098593171027445,1.0102154204153753,1.0102154204153753,-0.048415401625642486
0.05,0.3,100,chained,single,2000,0.1338878664321987,1.3504744742356594,0.13504744742356595,0.09914135289967362,0.9914135289967362,-0.002001499672374057
0.05,0.3,100,chained,multi,2000,1.33071960136205,1.3504744742356594,1.3504744742356594,0.9853719020607256,0.9853719020607256,-0.021313634645699117
0.05,0.3,100,indep,single,2000,1.3667590808362073,1.3504744742356594,1.3504744742356594,1.0120584334700327,1.0120584334700327,-0.02614771594954847
0.05,0.3,100,indep,multi,2000,1.3686205276281347,1.3504744742356594,1.3504744742356594,1.0134367985020565,1.0134367985020565,-0.021978591855064476
0.05,0.5,1,chained,single,2000,8.005323388720154,8.102846845413957,8.102846845413957,0.9879642971718022,0.9879642971718022,0.11381544226436767
0.05,0.5,1,chained,multi,2000,8.04428000167203,8.102846845413957,8.102846845413957,0.9927720658110336,0.9927720658110336,0.0408065933346438
0.05,0.5,1,indep,single,2000,8.120917981282807,8.102846845413957,8.102846845413957,1.0022302205895792,1.0022302205895792,-0.07771470315645791
0.05,0.5,1,indep,multi,2000,8.275632154909715,8.102846845413957,8.102846845413957,1.0213240250978644,1.0213240250978644,-0.014313260829791199
0.05,0.5,2,chained,single,2000,4.019872253275873,5.729577951308233,4.0514234227069785,0.7016000632922739,0.9922123248697555,-0.06075807123375151
0.05,0.5,2,chained,multi,2000,5.7861997369449725,5.729577951308233,5.729577951308233,1.0098823658771954,1.0098823658771954,-0.11805398711682855
0.05,0.5,2,indep,single,2000,5.8459560160420745,5.729577951308233,5.729577951308233,1.0203118040670462,1.0203118040670462,-0.2228684359414517
0.05,0.5,2,indep,multi,2000,5.8280169329542435,5.729577951308233,5.729577951308233,1.0171808434203315,1.0171808434203315,-0.08431530639741336
0.05,0.5,5,chained,single,2000,1.6163717238335447,3.623703271523067,1.6205693690827911,0.4460552100211485,0.9974097713252335,-0.034755719197951826
0.05,0.5,5,chained,multi,2000,3.639603182301463,3.623703271523067,3.6237032715230666,1.004387751862396,1.0043877518623963,-0.0360341359549718
0.05,0.5,5,indep,single,2000,3.663366363302993,3.623703271523067,3.623703271523067,1.0109454579495012,1.0109454579495012,0.16343620811878873
